title
question,anser,take1,...,takeN
SEA/J 模擬問題０１
JISQ27002:2006に示されている情報セキュリティの6つの要素に含まれないものはどれか,1,公平性,可用性,責任追跡性,真正性
計画に沿っていない部分に対し、是正処置や予防処置の実施をする段階は「PDCAサイクル」のどの段階か,4,PLAN,DO,CHECK,ACT
「インシデント」について説明しているものはどれか,3,情報資産が持つ弱点のこと,情報資産に対して、損害を与える原因のこと,セキュリティ侵害、セキュリティに関わる事件、出来事のこと,どのような情報資産が存在するかを把握すること
情報セキュリティポリシーの構成の3階層に含まれないもの,4,基本方針（基本ポリシー）,対策基準（スタンダード）,対策手順書（プロシージャ）,資産管理（アセット）
次のうち物理的セキュリティにあたらないのはどれか,3,サーバー室等の施錠,紙データをシュレッダーにかけて処理,雇用時におけるセキュリティポリシー等の教育,ノートPCをワイヤー等で固定
セキュリティを考慮した機材等の取扱として、最も適切でないものはどれか,4,盗難防止のために、ノートPCを、事務所内でセキュリティワイヤーでつなぐ,ノートPC内のファイルにパスワードを設定して、関係者以外に見せないようにする,機密情報の入ったロッカーは施錠する,車から離れる際は、ノートPCを持参して置き忘れるのを防ぐため、車中に置いておく
ソーシャルエンジニアリングの攻撃手法の説明として適切でないものはどれか,1,PC内のファイルをインターネットにばらまくコンピュータウイルスを作成し、重要情報を漏洩させる,ディスプレイを覗いて、機密情報を得る,拾得した入館証を利用して不正侵入する,正統な要件が終わった後に、別の部屋に赴いて、重要情報を得る
離席時に、PCのモニタから不要な情報が漏れないようにすることを何というか,3,スクリーンクリーンアップ,クリアデスク,クリアスクリーン,キープスクリーン
ソーシャルエンジニアリングについて正しく述べているのはどれか,1,物理的、あるいは心理的な手法で情報を盗み取ること,社会的ネットワークをインターネット上で構築するサービス,企業が社会貢献や社会的存在価値を示す広報的活動,オンライン上で、ユーザー同士が情報を交換する（送受信）すること
無線LANのセキュリティ企画であるWPA2は暗号化方式にどれを用いるか,3,WEP,TKIP,AES,MD5
セキュリティ事件・事故が起こったときに、一番最初に行うべきことはどれか,3,監査,懲戒処分,セキュリティ事件・事故の事実確認,再発防止策の選定
施設の入退室管理の施策として適切でないものはどれか,1,施設の移転,施設区分の決定,施設区分ごとの情報の取扱方法の決定,施設の入退室を記録
3台のPC、A・B・CをリピータHUBで接続したAからBへ送信されたパケットはリピータHUBのどのポートから出力されるか,4,Bが接続されたポート,Aが接続されたポート,AとBが接続されたポート,すべてのポート
TCP/IPネットワーク・モデルの4つの層でないもの,2,アプリケーション層,プレゼンテーション層,トランスポート層,ネットワーク・インターフェース層PT
NAPTの正しい説明はどれか,2,1対1でのIPアドレスの変換,1対多でのIPアドレスの変換,1対1でのTCPヘッダの交換,1対多でのTCPヘッダの交換
VPNの特徴として適切でないものはどれか,4,企業間通信の際に使われることもある,第三者による盗聴を困難にすることができる,通信を暗号化できる,メッセージの改ざんの有無を確認する用途では使用されない
無線LANのセキュリティとしてのWPAの説明として適切でないものはどれか,2,WiFi_Allianceによって規定された規格,WEPに代わる暗号化方式として使われている,WPA2も存在する,IEEE802.1Xも規定されている
ネットワークを構築する上で優先されるべき事項はどれか,3,ハブのポート数,コンピュータの物理的な配置,ネットワークの利用環境に応じた設計,コンピュータのHDDの容量
ポートスキャンとはどのような行為を指すか,2,Servicesというファイルに記述されているサービスの内容を調べる行為,端末の全てのポートに対し信号を送りその応答の様子から稼働しているサービスを洗い出す行為,HTTPやSMTPなどのプロトコルに対応したポート番号を調べる行為,OSやアプリケーションのバージョンやプログラムの不具合がないかを調べる行為
パスワードを不正な手段で解析や入手する行為の説明として適切なものかどれか,3,ポートスキャン,パケットフィルタリング,パスワードクラック,暗号化
WebサービスのセキュリティにおいてSSL/TLSを使用するとどのような脅威の対策をとれますか,3,盗聴、改ざん、なりすまし、ソーシャルエンジニアリング,盗聴、改ざん、なりすまし、認証,盗聴、改ざん、なりすまし、否認,盗聴、改ざん、なりすまし、無効化
改ざんによって引き起こされる問題はどれか,1,完全性が失われる,機密性が失われる,可用性が失われる,汎用性が失われる
リモートから管理者権限を奪う手法として利用されるものはどれか,1,バッファーオーバーフロー,DoS攻撃,クロスサイトスクリプディング,ポートスキャン
ネットワークにおける改ざんへの対策として最も適切な説明はどれか,1,改ざんの行為そのものは防げないのでハッシュなどを用いて改ざんを検知する,ウイルス対策ソフトを導入することでウイルス感染を防ぐ,暗号化することでデータの機密性を確保する,OSの設定を見直してPCへの不正アクセスを防ぐ
ネットワークにおける改ざんで引き起こされる問題で適切でないものはどれか,4,完全性、真正性、責任追跡性、信頼性が失われる,認証情報のなりすまし,ホームページの書き換え,稼働しているサービスのポート番号を洗い出す
UNIX系OSとWindowsが混在しているネットワークで、ファイルの共有を可能にする技術はどれか,2,NFS,Samba,Windowsのファイル共有,ファイルフィルタリング
ファイアウォールのアクセスコントロールの種類であるアプリケーションゲートウェイはOSI基本参照モデルにおいてどの層で制御を行っているか,4,データリンク層,ネットワーク層,トランスポート層,アプリケーション層
パケットフィルタリングの説明として適切なものはどれか,2,動的なパケットフィルタリングではフィルタリングルールがサーバから配信され、自動的に処理される,TCPによる通信では応答パケットを考慮する必要があるが動的なパケットフィルタリングでは自動生成される,アプリケーション層のプロトコルヘッダの情報を元にフィルタリングを行う,NAPTとは動的なパケットフィルタの一つである
NATに関する説明として最も適切なものはどれか,4,NATはファイアウォールのみが持つ機能の一つである,NAPTはIPパケットヘッダのIPアドレスを書き換える技術である,NAPTはパケットヘッダのポート番号を置き換える技術でステートフルインスペクションともよばれる,静的なNATよりも動的なNATの方が機能的に優れている
アプリケーションゲートウェイの説明として適切なものはどれか,2,IPアドレスの共有やクライアントの隠蔽,MACアドレスに基づいた経路選択,HTTPやFTPなどのアプリケーションプロトコルに基づいた高度な処理が可能,Proxyサーバとして普及している
認証の種類として「社員証」は次のうちどれあたりますか,2,SYK,SYH,SYA,SYC
ネットワーク型IDS(NIDS)の説明として適切なものはどれか,4,システム上に保存されるログを監視し不正アクセスを検知する,アクセス制限をする,仮想的に脆弱なシステムを構築し、侵入者を誘い込みログ収集する,ネットワーク上のトラフィックを監視し、不正アクセスを検知する
ホスト型lDS(NlDS)の機能の説明として適切なものはどれか,1,システム上に保存されるログを監視し不正アクセスを検知する,ネットワーク上のトラフィックを監視し、不正アクセスを検知する,アクセス制限をする,仮想的に脆弱なシステムを構築し、侵入者を誘い込みログ収集する
IDSの不正検知(MisuseDetection)の説明として適切なものはどれか,3,正常な通信も"不正である"と判断する,しきい値を越えた場合を異常として検知する,シグネチャを用いて比較処理を行い、不正を検知する,不正な通信を“不正である"と識別、検知できない
パニーポットの説明として適切なものはどれか,3,ネットワークとネットワークの中間地帯,ルールに基づいて必要な通信のみを通過させる装置,おとりとして用意されたPCやネットワーク,パケットを監視し、不正アクセスを検知する
「管理者ユーザが存在しても全てのアクセスは許可されない」というアクセス方式は何といいますか。,3,任意アクセス制御,ロールベースアクセス制御,絶対アクセス制御,強制アクセス制御
メールサーバに対する脅威として当てはまらないものはどれか,4,メールサーバの不正中継,DoS攻撃,スパムメール,不正なゾーン転送要求
メールクライアントに対する脅威として当てはまらないものはどれか,4,フィッシング詐欺,メール本文の盗聴,受信パスワードの盗聴,総当り攻撃
Webサービスに関する説明として適切でないものはどれか,3,URLによって指定されたリソースにアクセスできる,JavaやActiveXを用いることでHTMLでは実現できない機能が利用できる,WebではCGIやASPといったセキュリティの機能が利用できる,動的なコンテンツを利用することでデータベースとの連携などが行える
HTTPでセッション管理を行う為の仕組みとして適切なものはどれか,2,HTML,Cookie,キャッシュ,CSS
「ユーザに対して強制的に広告等を表示する」にあたる不正プログラムは何といいますか。,4,スパイウェア,キーロガー,ボット,アドウェア
0Sのファイルシステムに関する説明として適切なものはどれか,1,ファイルの所有者やアクセス権の情報を持つファイルシステムでは、これらの情報によってアクセスコントロールが行える,Windowsで使用するすべてのファイルシステムは所有者やアクセス権の情報を持つ,UNIXのファイルシステムである「FAT」ではアクセス権の情報を持たない,ネットワーク経由のアクセスはファイルシステムのアクセス権に依存しない
OSのアカウント管理に関する説明として適切なものはどれか,2,「任意アクセス制御」では「管理者」であっても全ての権限があるわけではない,Windowsでは「administratorsグループ」というグループがあり、「administratorユーザ」と同じ権限を持つグループである,UNIXではユーザ種別の概念は無い,近年のOSはセキュリティの観点から「TrustedOS」を一般的に採用している
OSのネットワーク保護に関する説明として適切なものはどれか,4,Windowsの「ファイル共有」と「WIndowsファイアウォール」の機能は共存できない,UNIXではパケットのルーティングを行うことができない,UNIXはサーバOSであり、パケットフィルタを行う機能は持っていない,UNIXではWindowsのファイル共有機能を利用する手段が用意されている
Windows修正プログラムで単一の不具合に対する修正プログラムを表すのはどれか,1,Hotfix(QFE),SecurityRollupPackage(SRP),ServicePack(SP),RedhatPackegeManager(RPM)
Windowsのイベントピューアで管理しているログの種類として適切でないものはどれか,4,システムログ,セキュリティログ,アプリケーションログ,バイナリログ
